SYMBOL,Gene,Feature
MCRS1,ENSG00000187778,ENST00000551598
MCRS1,ENSG00000187778,ENST00000552596
MCRS1,ENSG00000187778,ENST00000547182
KCNH3,ENSG00000135519,ENST00000548675
MCRS1,ENSG00000187778,ENST00000546244
MCRS1,ENSG00000187778,ENST00000553173
MCRS1,ENSG00000187778,ENST00000357123
MCRS1,ENSG00000187778,ENST00000548646
MCRS1,ENSG00000187778,ENST00000548334
FBXO21,ENSG00000135108,ENST00000330622
FBXO21,ENSG00000135108,ENST00000549689
FBXO21,ENSG00000135108,ENST00000550180
FBXO21,ENSG00000135108,ENST00000427718
FBXO21,ENSG00000135108,ENST00000622495
SYNDIG1L,ENSG00000183379,ENST00000554953
SYNDIG1L,ENSG00000183379,ENST00000331628
SYNDIG1L,ENSG00000183379,ENST00000554823
AHNAK2,ENSG00000185567,ENST00000555122
AHNAK2,ENSG00000185567,ENST00000557457
AHNAK2,ENSG00000185567,ENST00000333244
RYR3,ENSG00000198838,ENST00000389232
RYR3,ENSG00000198838,ENST00000415757
RYR3,ENSG00000198838,ENST00000622037
C15orf39,ENSG00000167173,ENST00000394987
C15orf39,ENSG00000167173,ENST00000563905
C15orf39,ENSG00000167173,ENST00000564848
C15orf39,ENSG00000167173,ENST00000562637
RP11-69H7.3,ENSG00000261779,ENST00000563568
C15orf39,ENSG00000167173,ENST00000567617
C15orf39,ENSG00000167173,ENST00000360639
C15orf39,ENSG00000167173,ENST00000565074
ETFA,ENSG00000140374,ENST00000267950
ETFA,ENSG00000140374,ENST00000560899
TYRO3P,ENSG00000259581,ENST00000558165
ETFA,ENSG00000140374,ENST00000560726
ETFA,ENSG00000140374,ENST00000433983
ETFA,ENSG00000140374,ENST00000557943
ETFA,ENSG00000140374,ENST00000560044
ETFA,ENSG00000140374,ENST00000559075
ETFA,ENSG00000140374,ENST00000560595
ETFA,ENSG00000140374,ENST00000559602
ETFA,ENSG00000140374,ENST00000559973
ETFA,ENSG00000140374,ENST00000560816
MRPL28,ENSG00000086504,ENST00000469744
TMEM8A,ENSG00000129925,ENST00000448854
TMEM8A,ENSG00000129925,ENST00000250930
MRPL28,ENSG00000086504,ENST00000450882
MRPL28,ENSG00000086504,ENST00000461550
MRPL28,ENSG00000086504,ENST00000481453
MRPL28,ENSG00000086504,ENST00000429738
TMEM8A,ENSG00000129925,ENST00000431232
MRPL28,ENSG00000086504,ENST00000389675
TMEM8A,ENSG00000129925,ENST00000424078
MRPL28,ENSG00000086504,ENST00000483764
MRPL28,ENSG00000086504,ENST00000447696
MRPL28,ENSG00000086504,ENST00000441883
MRPL28,ENSG00000086504,ENST00000199706
SULT1A2,ENSG00000197165,ENST00000533150
SULT1A2,ENSG00000197165,ENST00000395630
CCDC101,ENSG00000176476,ENST00000565945
CCDC101,ENSG00000176476,ENST00000564023
SULT1A2,ENSG00000197165,ENST00000526384
CCDC101,ENSG00000176476,ENST00000567447
CCDC101,ENSG00000176476,ENST00000317058
CCDC101,ENSG00000176476,ENST00000569581
SULT1A2,ENSG00000197165,ENST00000534108
SULT1A2,ENSG00000197165,ENST00000335715
CCDC101,ENSG00000176476,ENST00000567564
,,ENSR00001876459
,,
SHC1P2,ENSG00000267691,ENST00000589195
RNF152,ENSG00000176641,ENST00000591306
RNF152,ENSG00000176641,ENST00000312828
FCHO1,ENSG00000130475,ENST00000600209
FCHO1,ENSG00000130475,ENST00000600393
FCHO1,ENSG00000130475,ENST00000600058
FCHO1,ENSG00000130475,ENST00000252771
FCHO1,ENSG00000130475,ENST00000597718
FCHO1,ENSG00000130475,ENST00000599766
FCHO1,ENSG00000130475,ENST00000600676
FCHO1,ENSG00000130475,ENST00000595023
FCHO1,ENSG00000130475,ENST00000596951
FCHO1,ENSG00000130475,ENST00000595033
FCHO1,ENSG00000130475,ENST00000597512
FCHO1,ENSG00000130475,ENST00000597474
